1,1,1,2024-10-01 14:30:00.000,1号林区温度过高,已结案,2,已处理,2024-10-01 16:00:00.000
2,2,2,2024-10-02 09:15:00.000,2号草地干旱,处理中,3,NULL,NULL
3,3,3,2024-10-03 11:20:00.000,3号林区火险高,未处理,NULL,NULL,NULL
4,4,1,2024-10-04 08:45:00.000,1号林区病虫害,已结案,2,已处理,2024-10-04 14:30:00.000
5,5,4,2024-10-05 13:10:00.000,4号区域温度高,未处理,NULL,NULL,NULL
6,6,2,2024-10-06 10:30:00.000,2号草地虫害,处理中,3,处理中,NULL
7,7,5,2024-10-07 15:45:00.000,5号区域干旱,已结案,4,已灌溉,2024-10-07 18:20:00.000
8,8,3,2024-10-08 07:20:00.000,3号林区人为破坏,未处理,NULL,NULL,NULL
9,9,1,2024-10-09 12:30:00.000,1号林区火险,已结案,2,已巡查,2024-10-09 16:00:00.000
10,10,4,2024-10-10 09:00:00.000,4号区域干旱,未处理,NULL,NULL,NULL
11,11,2,2024-10-11 14:15:00.000,2号草地病害,处理中,3,NULL,NULL
12,12,5,2024-10-12 11:40:00.000,5号区域火点,已结案,4,误报,2024-10-12 13:20:00.000
13,13,1,2024-10-13 08:30:00.000,1号林区水位低,未处理,NULL,NULL,NULL
14,14,3,2024-10-14 16:25:00.000,3号林区虫害,已结案,2,已防治,2024-10-14 17:50:00.000
15,15,4,2024-10-15 10:10:00.000,4号区域非法砍伐,处理中,3,已报警,NULL
16,16,2,2025-12-29 13:55:00.000,2号草地干燥,未处理,NULL,NULL,NULL
17,17,5,2024-10-17 09:45:00.000,5号区域蒸发大,已结案,4,已调整,2024-10-17 12:30:00.000
18,18,1,2025-12-30 15:20:00.000,1号林区白蛾,处理中,2,NULL,NULL
19,19,3,2024-10-19 07:50:00.000,3号林区滑坡风险,未处理,NULL,NULL,NULL
20,20,4,2024-10-20 14:00:00.000,4号区域可燃物多,已结案,3,已清理,2024-10-20 16:45:00.000
21,1,1,2025-12-19 15:22:51.410,自动触发：区域[1]监测值[温度42℃]达到预警条件,未处理,NULL,NULL,NULL
22,2,1,2025-12-19 15:34:35.837,测试预警内容,未处理,NULL,NULL,NULL
23,3,2,2025-12-19 15:34:35.853,自动触发：区域[2]监测值[虫口密度55]达到预警条件,未处理,NULL,NULL,NULL
